Type, Score, Algorithm
fit_time,0.0031988859176635743,SVM
score_time,0.001899409294128418,SVM
test_precision,0.5157539682539682,SVM
test_recall,0.76,SVM
test_f1,0.6093839493839494,SVM
test_roc_auc,0.5716666666666667,SVM
fit_time,0.00019993782043457032,NB
score_time,0.0025990962982177734,NB
test_precision,0.3,NB
test_recall,0.13999999999999999,NB
test_f1,0.18928571428571428,NB
test_roc_auc,0.6733333333333333,NB
