Type, Score, Algorithm
fit_time,0.003199005126953125,SVM
score_time,0.0022992372512817385,SVM
test_precision,0.6380952380952382,SVM
test_recall,0.8,SVM
test_f1,0.7007326007326007,SVM
test_roc_auc,0.5527777777777778,SVM
fit_time,0.00039985179901123045,NB
score_time,0.0021993398666381838,NB
test_precision,0.4,NB
test_recall,0.16666666666666666,NB
test_f1,0.22999999999999998,NB
test_roc_auc,0.7305555555555555,NB
