Type, Score, Algorithm
fit_time,0.0028990745544433595,SVM
score_time,0.001899409294128418,SVM
test_precision,0.6464285714285715,SVM
test_recall,0.74,SVM
test_f1,0.6765334665334665,SVM
test_roc_auc,0.7433333333333334,SVM
fit_time,0.000499892234802246,NB
score_time,0.002299213409423828,NB
test_precision,0.17142857142857143,NB
test_recall,0.16,NB
test_f1,0.1583333333333333,NB
test_roc_auc,0.7655555555555555,NB
