Type, Score, Algorithm
fit_time,0.0032986879348754885,SVM
score_time,0.0021995782852172853,SVM
test_precision,0.21785714285714283,SVM
test_recall,0.6166666666666666,SVM
test_f1,0.3213636363636364,SVM
test_roc_auc,0.42666666666666664,SVM
fit_time,0.0002999067306518555,NB
score_time,0.002399253845214844,NB
test_precision,0.15,NB
test_recall,0.15,NB
test_f1,0.13333333333333333,NB
test_roc_auc,0.5011111111111111,NB
