Type, Score, Algorithm
fit_time,0.003298830986022949,SVM
score_time,0.0018993377685546874,SVM
test_precision,0.2828571428571428,SVM
test_recall,0.2333333333333333,SVM
test_f1,0.21000000000000002,SVM
test_roc_auc,0.4777777777777777,SVM
fit_time,0.0003999471664428711,NB
score_time,0.0023992061614990234,NB
test_precision,0.06666666666666667,NB
test_recall,0.13333333333333333,NB
test_f1,0.08888888888888888,NB
test_roc_auc,0.30666666666666664,NB
