Algorithm, Fit_Time, Score_Time, Precision, Recall, F1, ROC_AUC
SVM, 0.006697845458984375, 0.004149985313415527, 0.5223412698412698, 0.7999999999999999, 0.6293772893772894, 0.3008333333333334
NB, 0.0028497457504272463, 0.0070519685745239254, 0.4, 0.2, 0.24859307359307362, 0.3275
