Type, Score, Algorithm
fit_time,0.0025948524475097657,SVM
score_time,0.0019994020462036134,SVM
test_precision,0.17857142857142855,SVM
test_recall,0.39999999999999997,SVM
test_f1,0.24158730158730157,SVM
test_roc_auc,0.5111111111111111,SVM
fit_time,0.0003999948501586914,NB
score_time,0.002299046516418457,NB
test_precision,0.09357142857142857,NB
test_recall,0.21666666666666665,NB
test_f1,0.1304761904761905,NB
test_roc_auc,0.6583333333333333,NB
